file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryReceipts.vb,2250,2ce05ecd5ef187e2,﻿Imports Devart.Data.PostgreSql,,0,7,2,45,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.designer.vb,1436,262f5d1785bb0578,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.vb,163,dfe37251746a4659,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseReceiptPrint.designer.vb,799,3626867f8a1dcbf6,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseReceiptPrint.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseReceiptPrint.vb,108,06d6d96dc6331bd5,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/ds_po.Designer.vb,4610,8f17e65c67c3c3ae,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/ds_po.xsd,606,0c78cf8d20ce29ee,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Report/FPurchaseOrderOutstandingReceiveReport.Designer.vb,159,dd67dbac77ce3034,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
