file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
AQI Solution/AQI.Project/Module/Sales Order/ds_so.vb,12,cbd9cb5ae38d428e,﻿Partial Class ds_so,End Namespace,0,0,0,0,0
AQI Solution/AQI.Project/Module/Sales Order/ds_so.xsd,301,89a8b694a57edd20,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
AQI Solution/AQI.Project/Module/___Function Helper/Cls_Bilangan.vb,340,3b671481a486d9c6,﻿Public Class Cls_Bilangan,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/___Function Helper/Cls_Bilangan_new.vb,716,b906e582b3e6b99c,﻿Public Class Cls_Bilangan_new,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/___Function Helper/ModFunctionSpecial.vb,1695,bed67118116ebd5a,﻿Imports master_new.ModFunction,End Module,0,2,0,2,0
AQI Solution/AQI.Project/Module/___Function Helper/function_collection.vb,10046,1d4b72486391e888,﻿Imports System.Net.Mail,,3,106,0,266,0
AQI Solution/AQI.Project/Module/___Function Helper/function_data.vb,6025,856deefda95d7209,﻿Imports master_new.ModFunction,End Class,0,0,0,239,0
AQI Solution/AQI.Project/My Project/Application.Designer.vb,13,4dd7045513941609,﻿'------------------------------------------------------------------------------,,0,0,0,0,0
AQI Solution/AQI.Project/My Project/AssemblyInfo.vb,35,8821e0f1b5f4f2d2,﻿Imports System,"<Assembly: AssemblyFileVersion(""1.0.0.0"")>",0,0,0,0,0
AQI Solution/AQI.Project/My Project/Resources.Designer.vb,63,1a4686371be0a035,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
AQI Solution/AQI.Project/My Project/Resources.resx,127,2cd041a031a7b528,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/My Project/Settings.Designer.vb,171,ae76ac97e09adec8,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FAccountSearch.Designer.vb,156,e189b164e3674666,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FAccountSearch.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FAccountSearch.vb,486,86eedef45366e66a,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLocationSearch.Designer.vb,122,443f32b00c3a5730,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLocationSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLocationSearch.vb,692,5441737dc9fa05f3,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLotSerialSearch.designer.vb,136,b9699d35165e79fa,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLotSerialSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FLotSerialSearch.vb,239,69c6948c15700017,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPOCustomerSearch.designer.vb,188,f69145d2fb38337a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPOCustomerSearch.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPOCustomerSearch.vb,378,0ea8c1124c8075e5,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPPNTypeSearch.Designer.vb,94,179c7c25eddfcc07,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPPNTypeSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPPNTypeSearch.vb,50,ab8af456f7acbd12,﻿Public Class FPPNTypeSearch,End Class,0,0,0,0,0
AQI Solution/AQI.Project/__Browse References/FPackagingSearch.designer.vb,122,4f56d5945a4ef853,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
