file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine.vb,110,be96c10c59b26974,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.designer.vb,1153,904fad400b6968ad,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.resx,651,d02837daded01a2f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.vb,120,fa9f7ee773abccd9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice.Designer.vb,4522,ad477be6b48a1c2f,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice.xsd,604,03f2c8e24adaa67f,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice2.Designer.vb,648,1ad7e3cdba31259d,﻿'------------------------------------------------------------------------------,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice2.xsd,26,1f0fccd3240cfa0a,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FARPayment.Designer.vb,1386,dc82b4e887acb49f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FARPayment.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FARPayment.vb,2976,42a18dbd27862e3f,﻿Imports Devart.Data.PostgreSql,End Class,0,25,3,48,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FDRCRMemo.Designer.vb,1959,0527f8720d1289ed,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FDRCRMemo.resx,129,f4a1f5efea31259f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Transaction/FDRCRMemo.vb,4524,e5755964ef9ce2e4,﻿Imports Devart.Data.PostgreSql,End Class,0,24,5,54,0
Asvia Solution/ASVIA.Project/Module/Import Data/FPartNumberImport.designer.vb,1093,7680012da56267c2,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Import Data/FPartNumberImport.resx,129,92835f53a0ec0c20,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Import Data/FPartNumberImport.vb,747,ef2e958c3c75a918,﻿Imports Devart.Data.PostgreSql,,0,0,0,23,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber.designer.vb,1176,315b2f46fd31aa2f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber.resx,129,afde604ad8b9d553,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber.vb,1143,e38c27f39ededb6b,﻿Imports Devart.Data.PostgreSql,End Class,0,0,4,28,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber_npgsql.designer.vb,1167,02d4a79ee10bfe0c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber_npgsql.resx,129,afde604ad8b9d553,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Master Data/Item Sites/FPartNumber_npgsql.vb,1143,d742e3c7c4164f07,﻿Imports Devart.Data.PostgreSql,End Class,0,0,4,28,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDO.designer.vb,832,98a3c91296e14d18,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDO.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDO.vb,111,a38895aa0a544232,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDOSet.designer.vb,1066,be4cc87857e20586,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDOSet.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRDOSet.vb,57,e0767e7ac8607c0a,Imports master_new.ModFunction,End Class,0,0,0,2,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO.designer.vb,900,f2595bceebc378bd,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO.vb,111,f21431021a315b85,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCash.designer.vb,1151,f2b864dac6df8103,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCash.resx,684,6bb2f645bbf73cd8,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCash.vb,108,0062ab9fda58129c,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCashDisc2.designer.vb,1339,18fee1fa43a71285,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCashDisc2.resx,696,0616827ec3530112,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOCashDisc2.vb,129,5a929cc53c4ad4a5,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOSet.designer.vb,923,104f8782bd13f247,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOSet.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSOSet.vb,111,8c8845198ee3a5c3,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO_LOT.designer.vb,923,41b756f33cf1d73c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO_LOT.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSO_LOT.vb,111,7657c283a1b50dbe,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSalesOrderShipmentPrint.Designer.vb,1070,4cd898a158f925f3,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSalesOrderShipmentPrint.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSalesOrderShipmentPrint.vb,108,1199ca89d2377715,Imports master_new.ModFunction,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Sales Order/Print Out/XRSalesOrderShipmentPrintPackingList.Designer.vb,1068,f1829d040191d461,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
