No ,Nama Video ,link Video ,
2,Alur Pendaftaran Jamaah,https://www.instagram.com/reel/DGTFKMCI74H/,
3,Monitoring Ibadah selama bulan Puasa,https://www.instagram.com/reel/DGbxksCoqvt/,
4,Pesan Hewan Kurban,https://www.instagram.com/reel/DIKyfUco9kM/,
5,Titip Hewan Kurban,https://www.instagram.com/reel/DIKy0WmIeDC/,
,,,
,SETTING APLIKASI MOBILE APPS,,
1,Mengatasinya Maslam Hang atau Layar Biru,https://www.instagram.com/reel/DIP9NQ3oHiX/,
,,,
,MASLAM WEB APPS,,
1,Penggunaan Dasar Aplikasi Maslam,https://www.youtube.com/watch?v=YTfqA_ece0I,
2,Visitor,https://www.youtube.com/watch?v=rMs8Dxt23Eo,
,,,
r,Modul Lembaga,,
3,Profil Lembaga,https://www.youtube.com/watch?v=M6FVWETV_q0,
4,Foto Lembaga,https://www.youtube.com/watch?v=kuD_UmHH2FA,
5,Kategori Fasilitas,https://www.youtube.com/watch?v=XgV8vGsMCaU,
6,Fasilitas Lembaga,https://www.youtube.com/watch?v=1AmhHIjTyAY,
7,Satuan,https://www.youtube.com/watch?v=M8M4iAkW6jA,
8,Jatuh Tempo,https://www.youtube.com/watch?v=LDF2o5hNshQ,
9,Pemasok,https://www.youtube.com/watch?v=GGrAN761lmE,
10,Bidang,https://www.youtube.com/watch?v=Z8Qw3T6l-lA,
11,Periode Pengurus & Pengurus Lembaga,https://www.youtube.com/watch?v=y_eEaTuLmLo,
12,Sosial Media Lembaga,https://www.youtube.com/watch?v=u2SLykuKyvo,
13,Kutipan Kustom,https://www.youtube.com/watch?v=MPrSkYTUiVo,
,,,
,Modul Kegiatan,,
14,Pembicara,https://www.youtube.com/watch?v=Vm_tAq_N5q4,
15,Kegiatan,https://www.youtube.com/watch?v=tOyim3TnsUo,
16,Kegiatan Jumatan,secara prinsip input datanya sama dengan Kegiatan,
17,Kegiatan Rutin,https://www.youtube.com/watch?v=rlPihcNTU50,
18,Kegiatan Multi Pembicara,https://www.youtube.com/watch?v=XJeql6BeUwk,
,,,
,Modul Warga,,
19,Input Data Warga,https://www.youtube.com/watch?v=adaKTdfl14g,
20,Input Data Warga Import dari Excel,https://www.youtube.com/watch?v=jx5NUawBrPA,
21,Undang Menjadi Jamaah / Update Data Jamaah,https://www.youtube.com/watch?v=S1g65iNaTk4,
22,Warga Clone Data,https://www.youtube.com/watch?v=IdoUo_yV678,
,,,
,Modul Aset,,
23,Kategori Aset,https://www.youtube.com/watch?v=ezrLEbykdKs,
24,Aset,https://www.youtube.com/watch?v=xjqt-CDf-qA,
25,Pembelian Aset,https://www.youtube.com/watch?v=a18YCjdrk2w ,
26,Penyerahan Aset,https://www.youtube.com/watch?v=f0P3cT21MIc,
27,Pengembalian Aset,https://www.youtube.com/watch?v=_MCRDTbOPI4,
28,Penghapusan Aset,https://www.youtube.com/watch?v=3dq72VK20XI,
,,,
,Modul Inventory,,
29,Kategori Barang,https://www.youtube.com/watch?v=Vl8tazu7LFA,
30,Barang,https://www.youtube.com/watch?v=sVwmc5uIP9c,
31,Gudang,https://www.youtube.com/watch?v=B9VHedIqQFk,
32,Pembelian Inventori,https://www.youtube.com/watch?v=decmwvW10dQ,
33,Mutasi Inventori,https://www.youtube.com/watch?v=Oqzw4Abc93Q,
34,Penyesuaian Inventori,https://www.youtube.com/watch?v=RJcwO6nWJCA,
35,Pengeluaran Inventori,https://www.youtube.com/watch?v=CiOTkh8-zIs,
,,,
,Modul Ziswaf,,
36,Kategori Ziswaf,https://www.youtube.com/watch?v=za-koNGbKCA,
37,Projek,https://www.youtube.com/watch?v=xh97JiZweSo,
38,Penerimaan Ziswaf Standard,https://www.youtube.com/watch?v=ccRGpGQ1lvI,
39,Penerimaan Ziswaf Ber-Projek,https://www.youtube.com/watch?v=ebnJ32ZcG-A,
