file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Duta Solution/Duta.Project/__Browse References/FLocationSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FLocationSearch.vb,669,c91946c0d3237fe9,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FLotSerialSearch.designer.vb,136,b9699d35165e79fa,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FLotSerialSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FLotSerialSearch.vb,182,e01c0c9e8a4b90e8,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPackagingSearch.designer.vb,122,4f56d5945a4ef853,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPackagingSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPackagingSearch.vb,111,9c890b52e203ef22,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPartNumberSearch.Designer.vb,123,b4370e2fb1b188ef,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPartNumberSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPartNumberSearch.vb,2096,0d3c279c7452c00a,﻿Imports master_new.ModFunction,End Class,0,0,0,2,0
Duta Solution/Duta.Project/__Browse References/FPartnerSearch.Designer.vb,132,4ae37ddc0589c337,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPartnerSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPartnerSearch.vb,475,3776ae37755568b7,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Duta Solution/Duta.Project/__Browse References/FPaymentTypeSearch.Designer.vb,94,89cdd980254f5c82,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPaymentTypeSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPaymentTypeSearch.vb,60,12c2b337069af72d,﻿Public Class FPaymentTypeSearch,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPriceListSearch.Designer.vb,121,374977e84365402f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPriceListSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FPriceListSearch.vb,174,50fa53b084113669,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProdStrucSearch.designer.vb,121,5e6e77e6da487778,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProdStrucSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProdStrucSearch.vb,277,905dd90e86b4fa29,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProjectAccountSearch.Designer.vb,156,8c4abd56303e2255,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProjectAccountSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FProjectAccountSearch.vb,229,5311daaed7cf6d10,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FRoutingSearch.designer.vb,122,7bc352f4f88ef0ce,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FRoutingSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FRoutingSearch.vb,60,a9d12dbdcf472a35,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderDetailSearch.designer.vb,166,f72ca6b80745a9b5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderDetailSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderDetailSearch.vb,143,6efd14d66e9d588d,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderSearch.Designer.vb,166,ec4367238b252be3,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesOrderSearch.vb,2263,e2af83e044a33e7f,﻿Imports master_new.ModFunction,End Class,0,0,0,11,0
Duta Solution/Duta.Project/__Browse References/FSalesPersonSearch.designer.vb,87,3a37a866d6b7548d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesPersonSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FSalesPersonSearch.vb,73,1009912dcecc864e,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FTaxClassSearch.Designer.vb,130,cada8d3058c6a84f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FTaxClassSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FTaxClassSearch.vb,89,fee2d79c8db6eb87,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FUMSearch.Designer.vb,122,6d466c0c903e0e0c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FUMSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FUMSearch.vb,212,b4e3ed22bdfc0e72,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Duta Solution/Duta.Project/__Browse References/FWCSearch.designer.vb,122,b8405d2c75786e83,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FWCSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Duta Solution/Duta.Project/__Browse References/FWCSearch.vb,93,955be5c894c30d5c,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
