file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
SRI Solution/SRI.Project/__Browse References/FAccountSearch.Designer.vb,122,168550da8a29cc4a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FAccountSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FAccountSearch.vb,485,97ef3dd2f2d49f20,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCostCenterSearch.Designer.vb,122,26f4c6432dae0e27,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCostCenterSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCostCenterSearch.vb,113,3ec08eabcd297290,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCustomerGroupSearch.Designer.vb,86,f82f9d4160f6fad3,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCustomerGroupSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FCustomerGroupSearch.vb,67,5f9bc5cb8f8ffe78,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLocationSearch.Designer.vb,122,443f32b00c3a5730,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLocationSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLocationSearch.vb,692,5441737dc9fa05f3,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLotSerialSearch.designer.vb,136,b9699d35165e79fa,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLotSerialSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FLotSerialSearch.vb,182,e01c0c9e8a4b90e8,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPOCustomerSearch.designer.vb,188,5502b80e9dc4ee2b,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPOCustomerSearch.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPOCustomerSearch.vb,380,c04d9a7ef7cfa3cd,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPPNTypeSearch.Designer.vb,94,179c7c25eddfcc07,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPPNTypeSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPPNTypeSearch.vb,50,ab8af456f7acbd12,﻿Public Class FPPNTypeSearch,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPackagingSearch.designer.vb,122,4f56d5945a4ef853,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPackagingSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPackagingSearch.vb,111,9c890b52e203ef22,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPartNumberSearch.Designer.vb,134,9d9b2060495795e5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPartNumberSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPartNumberSearch.vb,2402,a83d25ea11cbc330,﻿Imports master_new.ModFunction,End Class,0,0,0,2,0
SRI Solution/SRI.Project/__Browse References/FPartnerSearch.Designer.vb,132,4ae37ddc0589c337,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPartnerSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPartnerSearch.vb,475,3776ae37755568b7,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
SRI Solution/SRI.Project/__Browse References/FPaymentTypeSearch.Designer.vb,94,89cdd980254f5c82,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPaymentTypeSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPaymentTypeSearch.vb,60,12c2b337069af72d,﻿Public Class FPaymentTypeSearch,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPriceListSearch.Designer.vb,121,374977e84365402f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPriceListSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FPriceListSearch.vb,174,50fa53b084113669,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProdStrucSearch.designer.vb,121,5e6e77e6da487778,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProdStrucSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProdStrucSearch.vb,277,905dd90e86b4fa29,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProjectAccountSearch.Designer.vb,156,8c4abd56303e2255,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProjectAccountSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FProjectAccountSearch.vb,229,5311daaed7cf6d10,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FRoutingSearch.designer.vb,122,7bc352f4f88ef0ce,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FRoutingSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FRoutingSearch.vb,60,a9d12dbdcf472a35,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderDetailSearch.designer.vb,166,f72ca6b80745a9b5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderDetailSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderDetailSearch.vb,143,6efd14d66e9d588d,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderSearch.Designer.vb,166,ec4367238b252be3,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesOrderSearch.vb,2263,98763d61fd06edf7,﻿Imports master_new.ModFunction,End Class,0,0,0,11,0
SRI Solution/SRI.Project/__Browse References/FSalesPersonSearch.designer.vb,87,3a37a866d6b7548d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesPersonSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FSalesPersonSearch.vb,73,1009912dcecc864e,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FTaxClassSearch.Designer.vb,130,cada8d3058c6a84f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FTaxClassSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FTaxClassSearch.vb,89,fee2d79c8db6eb87,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FUMSearch.Designer.vb,156,99fd87a5a98dfa43,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FUMSearch.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FUMSearch.vb,217,b9a2a04b73720e9d,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
SRI Solution/SRI.Project/__Browse References/FWCSearch.designer.vb,122,b8405d2c75786e83,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FWCSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FWCSearch.vb,93,955be5c894c30d5c,﻿Imports master_new.ModFunction,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FWOSearch.designer.vb,153,3843fa5f8cf6240a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FWOSearch.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__Browse References/FWOSearch.vb,853,5154131cbdc9ffba,﻿Imports master_new.ModFunction,End Class,0,0,0,7,0
SRI Solution/SRI.Project/__General Form/CustomDesignForm.resx,632,d13f29c53c9caaf6,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/CustomDesignForm.vb,1229,d4adbb8adc1b39ea,Public Class CustomDesignForm,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/FCodeMstr.Designer.vb,600,982b99a574b03902,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/FCodeMstr.resx,126,10815bc58252fa8f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/FCodeMstr.vb,358,ba0ab9eb5c77ff13,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,8,0
SRI Solution/SRI.Project/__General Form/frmPrintDialog.Designer.vb,170,6b6178b15ee6767e,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/frmPrintDialog.resx,440,caabe7620bd14448,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/frmPrintDialog.vb,194,e89baab6a5a8c9c2,Imports master_new.PGSqlConn,End Class,0,0,0,1,0
SRI Solution/SRI.Project/__General Form/frmPrintDialogReport.Designer.vb,1406,43c5bd402f5977d5,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/frmPrintDialogReport.resx,446,0bde7817e885efc1,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/__General Form/frmPrintDialogReport.vb,48,150408c4f7e7463c,Imports master_new.PGSqlConn,End Class,0,0,1,0,0
SRI Solution/SRI.Project/app.config,62,b1320158117dcf3c,"<?xml version=""1.0""?>","<startup><supportedRuntime version=""v4.0"" sku="".NETFramework,Version=v4.6""/></startup></configuration>",0,0,0,0,0
