file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Starcom Solution/Starcom.Project/Module/Distribution/Requisition/Print Out/XRRequisitionCost.resx,564,f4d38a1668aa6188,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Requisition/Print Out/XRRequisitionCost.vb,125,3084c3a847dd7bc4,Imports DevExpress.XtraPrinting,End Class,1,0,1,4,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoice.designer.vb,1344,28d25ab0af532a4f,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoice.resx,842,2f63c942d84e4cf6,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoice.vb,125,917d3799006ebd51,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoiceNoPO.designer.vb,1236,db86712b643db486,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoiceNoPO.resx,236,10a35eca60352aee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Print Out/XRAPInvoiceNoPO.vb,114,e38c9f02f71859fd,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPInvoiceReport.Designer.vb,459,3c31b416052387e7,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPInvoiceReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPInvoiceReport.vb,633,2d0ffb1a30df2420,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPPaymentReport.Designer.vb,256,78267c270f5e1c0c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPPaymentReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Financial/Account Payable/Report/FAPPaymentReport.vb,371,dda133689929a46c,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
