file,line_count,method_count
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPackingList_2.Designer.vb",1435,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPackingList_2.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPackingList_2.vb",93,5
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint.designer.vb",948,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint.resx",600,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint.vb",127,5
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint_LOT.designer.vb",981,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint_LOT.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRTransferIssuesPrint_LOT.vb",127,5
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/ds_pack.Designer.vb",1307,61
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/ds_transfer_printout_sys.Designer.vb",3707,151
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisition.designer.vb",1638,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisition.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisition.vb",3187,54
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisitionApproval.designer.vb",827,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisitionApproval.resx",138,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/FRequisitionApproval.vb",1269,19
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisition.designer.vb",681,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisition.resx",534,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisition.vb",137,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisitionCost.designer.vb",755,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisitionCost.resx",564,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Requisition/XRRequisitionCost.vb",125,4
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FPaymentManualChecks.designer.vb",1185,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FPaymentManualChecks.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FPaymentManualChecks.vb",2572,50
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FVoucher.Designer.vb",1741,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FVoucher.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AP Invoice/FVoucher.vb",3755,51
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatement.designer.vb",909,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatement.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatement.vb",670,26
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatementWizard.designer.vb",472,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatementWizard.resx",135,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARBillStatementWizard.vb",639,16
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARCardPrint.Designer.vb",313,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARCardPrint.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARCardPrint.vb",280,12
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARPaymentNoOtherAmount.designer.vb",1101,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARPaymentNoOtherAmount.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARPaymentNoOtherAmount.vb",2753,43
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReport.designer.vb",568,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReport.vb",1155,14
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportByDate.designer.vb",244,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportByDate.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportByDate.vb",256,9
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportWithUnapprovalSOReturn.designer.vb",264,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportWithUnapprovalSOReturn.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FARReportWithUnapprovalSOReturn.vb",551,8
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillBank.designer.vb",426,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillBank.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillBank.vb",322,15
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillSignature.designer.vb",426,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillSignature.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FBillSignature.vb",348,15
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FDRCRMemo.Designer.vb",1880,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FDRCRMemo.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FDRCRMemo.vb",4522,58
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotes.designer.vb",735,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotes.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotes.vb",746,26
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotesReason.Designer.vb",65,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotesReason.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/FReceiptNotesReason.vb",8,2
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCards.designer.vb",1039,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCards.resx",153,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCards.vb",173,5
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCardsSub.designer.vb",434,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCardsSub.resx",147,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRARCardsSub.vb",3,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatement.Designer.vb",1141,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatement.resx",1181,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatement.vb",158,6
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementAddress.Designer.vb",694,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementAddress.resx",618,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementAddress.vb",8,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementSubReport.Designer.vb",128,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementSubReport.resx",153,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRBillStatementSubReport.vb",13,2
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRCashInARPrint.designer.vb",1095,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRCashInARPrint.resx",606,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRCashInARPrint.vb",108,4
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoice.designer.vb",1284,4
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoice.resx",732,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoice.vb",125,5
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoiceDistLine2.designer.vb",1139,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoiceDistLine2.resx",651,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRInvoiceDistLine2.vb",120,4
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint.designer.vb",1236,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint.vb",32,2
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint_2.designer.vb",1243,3
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint_2.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/AR Invoice/XRReceiptNotesPrint_2.vb",32,2
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankCreditLimit.designer.vb",424,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankCreditLimit.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankCreditLimit.vb",628,20
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanInterestRate.designer.vb",424,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanInterestRate.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanInterestRate.vb",503,18
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanType.Designer.vb",424,3
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanType.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FBankLoanType.vb",360,16
"Grafindo Solution/Grafindo.Project/Module/Financial/Bank Loan/Master Data/FCreditor.Designer.vb",148,3
